trade_id,timestamp,symbol,side,entry_price,quantity,leverage,risk_pct,reward_pct,stop_loss,take_profit,current_roe,drawdown,max_roe,trade_status,exit_price,exit_timestamp,actual_return_pct,notes
PT_BTCUSDT_0001,2025-07-19 22:46:01.706622,BTCUSDT,SHORT,117900.4,0.08057649,10,5,15,118489.90199999999,116131.89399999999,0,0,0,OPEN,,,,🎯 Balanced Signal: SHORT | R/R: 5.0%/15.0% | WR: 50.0%
PT_BTCUSDT_0002,2025-07-19 22:46:17.600966,BTCUSDT,SHORT,117890.7,0.08058312,10,5,15,118480.15349999999,116122.3395,0,0,0,OPEN,,,,🎯 Balanced Signal: SHORT | R/R: 5.0%/15.0% | WR: 50.0%
PT_BTCUSDT_0001,2025-07-19 22:46:01.706622,BTCUSDT,SHORT,117900.4,0.08057649,10,5,15,118489.90199999999,116131.89399999999,0,0,0,CLOSED_WIN,117870.0,2025-07-19 22:49:45.885202,0.25784475710001137,🎯 SHORT | Session Ended | ✅ 0.26%
PT_BTCUSDT_0002,2025-07-19 22:46:17.600966,BTCUSDT,SHORT,117890.7,0.08058312,10,5,15,118480.15349999999,116122.3395,0,0,0,CLOSED_WIN,117870.0,2025-07-19 22:49:45.886111,0.17558636940824923,🎯 SHORT | Session Ended | ✅ 0.18%
